"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\src\locales\id-ID.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\pages.ts", "TypeScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 71
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\qsa2020\04_pc\myapp\src\locales\id-ID\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\pages.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"d:\qsa2020\04_pc\myapp\src\locales\ja-JP\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 60
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\qsa2020\04_pc\myapp\src\locales\pt-BR\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 1, 160
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\pages.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"d:\qsa2020\04_pc\myapp\src\locales\zh-CN\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"d:\qsa2020\04_pc\myapp\src\locales\zh-TW\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"d:\qsa2020\04_pc\myapp\src\manifest.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\qsa2020\04_pc\myapp\src\models\account.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"d:\qsa2020\04_pc\myapp\src\models\attr.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"d:\qsa2020\04_pc\myapp\src\models\brand.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"d:\qsa2020\04_pc\myapp\src\models\custArea.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\qsa2020\04_pc\myapp\src\models\custLevel.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 2, 24
"d:\qsa2020\04_pc\myapp\src\models\custType.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"d:\qsa2020\04_pc\myapp\src\models\dep.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 2, 30
"d:\qsa2020\04_pc\myapp\src\models\options.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 2, 25
"d:\qsa2020\04_pc\myapp\src\models\params.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"d:\qsa2020\04_pc\myapp\src\models\productType.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\qsa2020\04_pc\myapp\src\models\store.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\qsa2020\04_pc\myapp\src\models\suppType.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"d:\qsa2020\04_pc\myapp\src\models\unit.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"d:\qsa2020\04_pc\myapp\src\models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"d:\qsa2020\04_pc\myapp\src\models\userRole.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"d:\qsa2020\04_pc\myapp\src\pages\404.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\qsa2020\04_pc\myapp\src\pages\Bas\account\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 96
"d:\qsa2020\04_pc\myapp\src\pages\Bas\account\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 2, 126
"d:\qsa2020\04_pc\myapp\src\pages\Bas\attr\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 61
"d:\qsa2020\04_pc\myapp\src\pages\Bas\attr\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 2, 130
"d:\qsa2020\04_pc\myapp\src\pages\Bas\basOthers\cust.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\qsa2020\04_pc\myapp\src\pages\Bas\basOthers\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"d:\qsa2020\04_pc\myapp\src\pages\Bas\basOthers\product.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
